"STATION","NAME","DATE","TAVG"
"USW00013962","ABILENE REGIONAL AIRPORT, TX US","2020-02-18","52"
"USW00013962","ABILENE REGIONAL AIRPORT, TX US","2020-02-19","43"
"USW00013962","ABILENE REGIONAL AIRPORT, TX US","2020-02-20","44"
"USW00013962","ABILENE REGIONAL AIRPORT, TX US","2020-02-21","36"
"USW00013962","ABILENE REGIONAL AIRPORT, TX US","2020-02-22","49"
"USW00013962","ABILENE REGIONAL AIRPORT, TX US","2020-02-23","54"
"USW00013962","ABILENE REGIONAL AIRPORT, TX US","2020-02-24","57"
"USW00013962","ABILENE REGIONAL AIRPORT, TX US","2020-02-25","50"
"USW00013962","ABILENE REGIONAL AIRPORT, TX US","2020-02-26","40"
"USW00013962","ABILENE REGIONAL AIRPORT, TX US","2020-02-27","42"
"USW00013962","ABILENE REGIONAL AIRPORT, TX US","2020-02-28","50"
"USW00013962","ABILENE REGIONAL AIRPORT, TX US","2020-02-29","58"
"USW00013962","ABILENE REGIONAL AIRPORT, TX US","2020-03-01","63"
"USW00013962","ABILENE REGIONAL AIRPORT, TX US","2020-03-02","62"
"USW00013962","ABILENE REGIONAL AIRPORT, TX US","2020-03-03","60"
"USW00013962","ABILENE REGIONAL AIRPORT, TX US","2020-03-04","53"
"USW00013962","ABILENE REGIONAL AIRPORT, TX US","2020-03-05","51"
"USW00013962","ABILENE REGIONAL AIRPORT, TX US","2020-03-06","55"
"USW00013962","ABILENE REGIONAL AIRPORT, TX US","2020-03-07","55"
"USW00013962","ABILENE REGIONAL AIRPORT, TX US","2020-03-08","57"
"USW00013962","ABILENE REGIONAL AIRPORT, TX US","2020-03-09","65"
"USW00013962","ABILENE REGIONAL AIRPORT, TX US","2020-03-10","62"
"USW00013962","ABILENE REGIONAL AIRPORT, TX US","2020-03-11","71"
"USW00013962","ABILENE REGIONAL AIRPORT, TX US","2020-03-12","72"
"USW00013962","ABILENE REGIONAL AIRPORT, TX US","2020-03-13","62"
"USW00013962","ABILENE REGIONAL AIRPORT, TX US","2020-03-14","53"
"USW00013962","ABILENE REGIONAL AIRPORT, TX US","2020-03-15","52"
"USW00013962","ABILENE REGIONAL AIRPORT, TX US","2020-03-16","53"
"USW00013962","ABILENE REGIONAL AIRPORT, TX US","2020-03-17","66"
"USW00013962","ABILENE REGIONAL AIRPORT, TX US","2020-03-18","67"
"USW00013962","ABILENE REGIONAL AIRPORT, TX US","2020-03-19","70"
"USW00013962","ABILENE REGIONAL AIRPORT, TX US","2020-03-20","54"
"USW00013962","ABILENE REGIONAL AIRPORT, TX US","2020-03-21","44"
"USW00013962","ABILENE REGIONAL AIRPORT, TX US","2020-03-22","51"
"USW00013962","ABILENE REGIONAL AIRPORT, TX US","2020-03-23","64"
"USW00013962","ABILENE REGIONAL AIRPORT, TX US","2020-03-24","70"
"USW00013962","ABILENE REGIONAL AIRPORT, TX US","2020-03-25","69"
"USW00013962","ABILENE REGIONAL AIRPORT, TX US","2020-03-26","76"
"USW00013962","ABILENE REGIONAL AIRPORT, TX US","2020-03-27","74"
"USW00013962","ABILENE REGIONAL AIRPORT, TX US","2020-03-28","67"
"USW00013962","ABILENE REGIONAL AIRPORT, TX US","2020-03-29","57"
"USW00013962","ABILENE REGIONAL AIRPORT, TX US","2020-03-30","62"
"USW00013962","ABILENE REGIONAL AIRPORT, TX US","2020-03-31","61"
"USW00013962","ABILENE REGIONAL AIRPORT, TX US","2020-04-01","61"
"USW00013962","ABILENE REGIONAL AIRPORT, TX US","2020-04-02","68"
"USW00013962","ABILENE REGIONAL AIRPORT, TX US","2020-04-03","54"
"USW00013962","ABILENE REGIONAL AIRPORT, TX US","2020-04-04","42"
"USW00013962","ABILENE REGIONAL AIRPORT, TX US","2020-04-05","51"
"USW00013962","ABILENE REGIONAL AIRPORT, TX US","2020-04-06","62"
"USW00013962","ABILENE REGIONAL AIRPORT, TX US","2020-04-07","70"
"USW00013962","ABILENE REGIONAL AIRPORT, TX US","2020-04-08","76"
"USW00013962","ABILENE REGIONAL AIRPORT, TX US","2020-04-09","67"
"USW00013962","ABILENE REGIONAL AIRPORT, TX US","2020-04-10","61"
"USW00013962","ABILENE REGIONAL AIRPORT, TX US","2020-04-11","66"
"USW00013962","ABILENE REGIONAL AIRPORT, TX US","2020-04-12","66"
"USW00013962","ABILENE REGIONAL AIRPORT, TX US","2020-04-13","45"
"USW00013962","ABILENE REGIONAL AIRPORT, TX US","2020-04-14","43"
"USW00013962","ABILENE REGIONAL AIRPORT, TX US","2020-04-15","47"
"USW00013962","ABILENE REGIONAL AIRPORT, TX US","2020-04-16","61"
"USW00013962","ABILENE REGIONAL AIRPORT, TX US","2020-04-17","56"
"USW00013962","ABILENE REGIONAL AIRPORT, TX US","2020-04-18","51"
"USW00013962","ABILENE REGIONAL AIRPORT, TX US","2020-04-19","68"
"USW00013962","ABILENE REGIONAL AIRPORT, TX US","2020-04-20","67"
"USW00013962","ABILENE REGIONAL AIRPORT, TX US","2020-04-21","72"
"USW00013962","ABILENE REGIONAL AIRPORT, TX US","2020-04-22","76"
"USW00013962","ABILENE REGIONAL AIRPORT, TX US","2020-04-23","70"
"USW00013962","ABILENE REGIONAL AIRPORT, TX US","2020-04-24","75"
"USW00013962","ABILENE REGIONAL AIRPORT, TX US","2020-04-25","64"
"USW00013962","ABILENE REGIONAL AIRPORT, TX US","2020-04-26","66"
"USW00013962","ABILENE REGIONAL AIRPORT, TX US","2020-04-27","75"
"USW00013962","ABILENE REGIONAL AIRPORT, TX US","2020-04-28","79"
"USW00013962","ABILENE REGIONAL AIRPORT, TX US","2020-04-29","75"
"USW00013962","ABILENE REGIONAL AIRPORT, TX US","2020-04-30","68"
"USW00013962","ABILENE REGIONAL AIRPORT, TX US","2020-05-01","78"
"USW00013962","ABILENE REGIONAL AIRPORT, TX US","2020-05-02","83"
"USW00013962","ABILENE REGIONAL AIRPORT, TX US","2020-05-03","86"
"USW00013962","ABILENE REGIONAL AIRPORT, TX US","2020-05-04","86"
"USW00013962","ABILENE REGIONAL AIRPORT, TX US","2020-05-05","78"
"USW00013962","ABILENE REGIONAL AIRPORT, TX US","2020-05-06","67"
"USW00013962","ABILENE REGIONAL AIRPORT, TX US","2020-05-07","71"
"USW00013962","ABILENE REGIONAL AIRPORT, TX US","2020-05-08","72"
"USW00013962","ABILENE REGIONAL AIRPORT, TX US","2020-05-09","60"
"USW00013962","ABILENE REGIONAL AIRPORT, TX US","2020-05-10","67"
"USW00013962","ABILENE REGIONAL AIRPORT, TX US","2020-05-11","70"
"USW00013962","ABILENE REGIONAL AIRPORT, TX US","2020-05-12","73"
"USW00013962","ABILENE REGIONAL AIRPORT, TX US","2020-05-13","75"
"USW00013962","ABILENE REGIONAL AIRPORT, TX US","2020-05-14","81"
"USW00013962","ABILENE REGIONAL AIRPORT, TX US","2020-05-15","83"
"USW00013962","ABILENE REGIONAL AIRPORT, TX US","2020-05-16","66"
"USW00013962","ABILENE REGIONAL AIRPORT, TX US","2020-05-17","70"
"USW00013962","ABILENE REGIONAL AIRPORT, TX US","2020-05-18","80"
"USW00013962","ABILENE REGIONAL AIRPORT, TX US","2020-05-19","88"
"USW00013962","ABILENE REGIONAL AIRPORT, TX US","2020-05-20","83"
"USW00013962","ABILENE REGIONAL AIRPORT, TX US","2020-05-21","80"
"USW00013962","ABILENE REGIONAL AIRPORT, TX US","2020-05-22","83"
"USW00013962","ABILENE REGIONAL AIRPORT, TX US","2020-05-23","83"
"USW00013962","ABILENE REGIONAL AIRPORT, TX US","2020-05-24","78"
"USW00013962","ABILENE REGIONAL AIRPORT, TX US","2020-05-25","70"
"USW00013962","ABILENE REGIONAL AIRPORT, TX US","2020-05-26","70"
"USW00013962","ABILENE REGIONAL AIRPORT, TX US","2020-05-27","73"
"USW00013962","ABILENE REGIONAL AIRPORT, TX US","2020-05-28","73"
"USW00013962","ABILENE REGIONAL AIRPORT, TX US","2020-05-29","75"
"USW00013962","ABILENE REGIONAL AIRPORT, TX US","2020-05-30","75"
"USW00013962","ABILENE REGIONAL AIRPORT, TX US","2020-05-31","74"
"USW00013962","ABILENE REGIONAL AIRPORT, TX US","2020-06-01","76"
"USW00013962","ABILENE REGIONAL AIRPORT, TX US","2020-06-02","74"
"USW00013962","ABILENE REGIONAL AIRPORT, TX US","2020-06-03","79"
"USW00013962","ABILENE REGIONAL AIRPORT, TX US","2020-06-04","83"
"USW00013962","ABILENE REGIONAL AIRPORT, TX US","2020-06-05","85"
"USW00013962","ABILENE REGIONAL AIRPORT, TX US","2020-06-06","83"
"USW00013962","ABILENE REGIONAL AIRPORT, TX US","2020-06-07","82"
"USW00013962","ABILENE REGIONAL AIRPORT, TX US","2020-06-08","85"
"USW00013962","ABILENE REGIONAL AIRPORT, TX US","2020-06-09","86"
"USW00013962","ABILENE REGIONAL AIRPORT, TX US","2020-06-10","74"
"USW00013962","ABILENE REGIONAL AIRPORT, TX US","2020-06-11","79"
"USW00013962","ABILENE REGIONAL AIRPORT, TX US","2020-06-12","78"
"USW00013962","ABILENE REGIONAL AIRPORT, TX US","2020-06-13","80"
"USW00013962","ABILENE REGIONAL AIRPORT, TX US","2020-06-14","80"
"USW00013962","ABILENE REGIONAL AIRPORT, TX US","2020-06-15","79"
"USW00013962","ABILENE REGIONAL AIRPORT, TX US","2020-06-16","82"
"USW00013962","ABILENE REGIONAL AIRPORT, TX US","2020-06-17","82"
"USW00013962","ABILENE REGIONAL AIRPORT, TX US","2020-06-18","85"
"USW00013962","ABILENE REGIONAL AIRPORT, TX US","2020-06-19","84"
"USW00013962","ABILENE REGIONAL AIRPORT, TX US","2020-06-20","76"
"USW00013962","ABILENE REGIONAL AIRPORT, TX US","2020-06-21","83"
"USW00013962","ABILENE REGIONAL AIRPORT, TX US","2020-06-22","83"
"USW00013962","ABILENE REGIONAL AIRPORT, TX US","2020-06-23","78"
"USW00013962","ABILENE REGIONAL AIRPORT, TX US","2020-06-24","77"
"USW00013962","ABILENE REGIONAL AIRPORT, TX US","2020-06-25","79"
"USW00013962","ABILENE REGIONAL AIRPORT, TX US","2020-06-26","82"
"USW00013962","ABILENE REGIONAL AIRPORT, TX US","2020-06-27","82"
"USW00013962","ABILENE REGIONAL AIRPORT, TX US","2020-06-28","83"
"USW00013962","ABILENE REGIONAL AIRPORT, TX US","2020-06-29","86"
"USW00013962","ABILENE REGIONAL AIRPORT, TX US","2020-06-30","82"
"USW00013962","ABILENE REGIONAL AIRPORT, TX US","2020-07-01","86"
"USW00013962","ABILENE REGIONAL AIRPORT, TX US","2020-07-02","81"
"USW00013962","ABILENE REGIONAL AIRPORT, TX US","2020-07-03","85"
"USW00013962","ABILENE REGIONAL AIRPORT, TX US","2020-07-04","86"
"USW00013962","ABILENE REGIONAL AIRPORT, TX US","2020-07-05","84"
"USW00013962","ABILENE REGIONAL AIRPORT, TX US","2020-07-06","80"
"USW00013962","ABILENE REGIONAL AIRPORT, TX US","2020-07-07","81"
"USW00013962","ABILENE REGIONAL AIRPORT, TX US","2020-07-08","81"
"USW00013962","ABILENE REGIONAL AIRPORT, TX US","2020-07-09","87"
"USW00013962","ABILENE REGIONAL AIRPORT, TX US","2020-07-10","87"
"USW00013962","ABILENE REGIONAL AIRPORT, TX US","2020-07-11","89"
"USW00013962","ABILENE REGIONAL AIRPORT, TX US","2020-07-12","89"
"USW00013962","ABILENE REGIONAL AIRPORT, TX US","2020-07-13","92"
"USW00013962","ABILENE REGIONAL AIRPORT, TX US","2020-07-14","94"
"USW00013962","ABILENE REGIONAL AIRPORT, TX US","2020-07-15","92"
"USW00013962","ABILENE REGIONAL AIRPORT, TX US","2020-07-16","89"
"USW00013962","ABILENE REGIONAL AIRPORT, TX US","2020-07-17","89"
"USW00013962","ABILENE REGIONAL AIRPORT, TX US","2020-07-18","87"
"USW00013962","ABILENE REGIONAL AIRPORT, TX US","2020-07-19","85"
"USW00013962","ABILENE REGIONAL AIRPORT, TX US","2020-07-20","85"
"USW00013962","ABILENE REGIONAL AIRPORT, TX US","2020-07-21","86"
"USW00013962","ABILENE REGIONAL AIRPORT, TX US","2020-07-22","82"
"USW00013962","ABILENE REGIONAL AIRPORT, TX US","2020-07-23","83"
"USW00013962","ABILENE REGIONAL AIRPORT, TX US","2020-07-24","86"
"USW00013962","ABILENE REGIONAL AIRPORT, TX US","2020-07-25","84"
"USW00013962","ABILENE REGIONAL AIRPORT, TX US","2020-07-26","82"
"USW00013962","ABILENE REGIONAL AIRPORT, TX US","2020-07-27","84"
"USW00013962","ABILENE REGIONAL AIRPORT, TX US","2020-07-28","84"
"USW00013962","ABILENE REGIONAL AIRPORT, TX US","2020-07-29","80"
"USW00013962","ABILENE REGIONAL AIRPORT, TX US","2020-07-30","86"
"USW00013962","ABILENE REGIONAL AIRPORT, TX US","2020-07-31","82"
"USW00013962","ABILENE REGIONAL AIRPORT, TX US","2020-08-01","80"
"USW00013962","ABILENE REGIONAL AIRPORT, TX US","2020-08-02","83"
"USW00013962","ABILENE REGIONAL AIRPORT, TX US","2020-08-03","79"
"USW00013962","ABILENE REGIONAL AIRPORT, TX US","2020-08-04","81"
"USW00013962","ABILENE REGIONAL AIRPORT, TX US","2020-08-05","87"
"USW00013962","ABILENE REGIONAL AIRPORT, TX US","2020-08-06","89"
"USW00013962","ABILENE REGIONAL AIRPORT, TX US","2020-08-07","88"
"USW00013962","ABILENE REGIONAL AIRPORT, TX US","2020-08-08","88"
"USW00013962","ABILENE REGIONAL AIRPORT, TX US","2020-08-09","87"
"USW00013962","ABILENE REGIONAL AIRPORT, TX US","2020-08-10","88"
"USW00013962","ABILENE REGIONAL AIRPORT, TX US","2020-08-11","89"
"USW00013962","ABILENE REGIONAL AIRPORT, TX US","2020-08-12","90"
"USW00013962","ABILENE REGIONAL AIRPORT, TX US","2020-08-13","92"
"USW00013962","ABILENE REGIONAL AIRPORT, TX US","2020-08-14","93"
"USW00013962","ABILENE REGIONAL AIRPORT, TX US","2020-08-15","92"
"USW00013962","ABILENE REGIONAL AIRPORT, TX US","2020-08-16","87"
"USW00013962","ABILENE REGIONAL AIRPORT, TX US","2020-08-17","80"
"USW00013962","ABILENE REGIONAL AIRPORT, TX US","2020-08-18","84"
"USW00013962","ABILENE REGIONAL AIRPORT, TX US","2020-08-19","82"
"USW00013962","ABILENE REGIONAL AIRPORT, TX US","2020-08-20","79"
"USW00013962","ABILENE REGIONAL AIRPORT, TX US","2020-08-21","79"
"USW00013962","ABILENE REGIONAL AIRPORT, TX US","2020-08-22","83"
"USW00013962","ABILENE REGIONAL AIRPORT, TX US","2020-08-23","83"
"USW00013962","ABILENE REGIONAL AIRPORT, TX US","2020-08-24","82"
"USW00013962","ABILENE REGIONAL AIRPORT, TX US","2020-08-25","83"
"USW00013962","ABILENE REGIONAL AIRPORT, TX US","2020-08-26","83"
"USW00013962","ABILENE REGIONAL AIRPORT, TX US","2020-08-27","85"
"USW00013962","ABILENE REGIONAL AIRPORT, TX US","2020-08-28","90"
"USW00013962","ABILENE REGIONAL AIRPORT, TX US","2020-08-29","93"
"USW00013962","ABILENE REGIONAL AIRPORT, TX US","2020-08-30","88"
"USW00013962","ABILENE REGIONAL AIRPORT, TX US","2020-08-31","91"
"USW00013962","ABILENE REGIONAL AIRPORT, TX US","2020-09-01","83"
"USW00013962","ABILENE REGIONAL AIRPORT, TX US","2020-09-02","74"
"USW00013962","ABILENE REGIONAL AIRPORT, TX US","2020-09-03","78"
"USW00013962","ABILENE REGIONAL AIRPORT, TX US","2020-09-04","79"
"USW00013962","ABILENE REGIONAL AIRPORT, TX US","2020-09-05","79"
"USW00013962","ABILENE REGIONAL AIRPORT, TX US","2020-09-06","79"
"USW00013962","ABILENE REGIONAL AIRPORT, TX US","2020-09-07","84"
"USW00013962","ABILENE REGIONAL AIRPORT, TX US","2020-09-08","83"
"USW00013962","ABILENE REGIONAL AIRPORT, TX US","2020-09-09","57"
"USW00013962","ABILENE REGIONAL AIRPORT, TX US","2020-09-10","50"
"USW00013962","ABILENE REGIONAL AIRPORT, TX US","2020-09-11","58"
"USW00013962","ABILENE REGIONAL AIRPORT, TX US","2020-09-12","70"
"USW00013962","ABILENE REGIONAL AIRPORT, TX US","2020-09-13","76"
"USW00013962","ABILENE REGIONAL AIRPORT, TX US","2020-09-14","75"
"USW00013962","ABILENE REGIONAL AIRPORT, TX US","2020-09-15","71"
"USW00013962","ABILENE REGIONAL AIRPORT, TX US","2020-09-16","74"
"USW00013962","ABILENE REGIONAL AIRPORT, TX US","2020-09-17","75"
"USW00013962","ABILENE REGIONAL AIRPORT, TX US","2020-09-18","73"
"USW00013962","ABILENE REGIONAL AIRPORT, TX US","2020-09-19","70"
"USW00013962","ABILENE REGIONAL AIRPORT, TX US","2020-09-20","67"
"USW00013962","ABILENE REGIONAL AIRPORT, TX US","2020-09-21","69"
"USW00013962","ABILENE REGIONAL AIRPORT, TX US","2020-09-22","69"
"USW00013962","ABILENE REGIONAL AIRPORT, TX US","2020-09-23","69"
"USW00013962","ABILENE REGIONAL AIRPORT, TX US","2020-09-24","68"
"USW00013962","ABILENE REGIONAL AIRPORT, TX US","2020-09-25","73"
"USW00013962","ABILENE REGIONAL AIRPORT, TX US","2020-09-26","76"
"USW00013962","ABILENE REGIONAL AIRPORT, TX US","2020-09-27","83"
"USW00013962","ABILENE REGIONAL AIRPORT, TX US","2020-09-28","68"
"USW00013962","ABILENE REGIONAL AIRPORT, TX US","2020-09-29","61"
"USW00013962","ABILENE REGIONAL AIRPORT, TX US","2020-09-30","70"
"USW00013962","ABILENE REGIONAL AIRPORT, TX US","2020-10-01","69"
"USW00013962","ABILENE REGIONAL AIRPORT, TX US","2020-10-02","65"
"USW00013962","ABILENE REGIONAL AIRPORT, TX US","2020-10-03","71"
"USW00013962","ABILENE REGIONAL AIRPORT, TX US","2020-10-04","69"
"USW00013962","ABILENE REGIONAL AIRPORT, TX US","2020-10-05","69"
"USW00013962","ABILENE REGIONAL AIRPORT, TX US","2020-10-06","74"
"USW00013962","ABILENE REGIONAL AIRPORT, TX US","2020-10-07","76"
"USW00013962","ABILENE REGIONAL AIRPORT, TX US","2020-10-08","75"
"USW00013962","ABILENE REGIONAL AIRPORT, TX US","2020-10-09","73"
"USW00013962","ABILENE REGIONAL AIRPORT, TX US","2020-10-10","75"
"USW00013962","ABILENE REGIONAL AIRPORT, TX US","2020-10-11","81"
"USW00013962","ABILENE REGIONAL AIRPORT, TX US","2020-10-12","75"
"USW00013962","ABILENE REGIONAL AIRPORT, TX US","2020-10-13","66"
"USW00013962","ABILENE REGIONAL AIRPORT, TX US","2020-10-14","77"
"USW00013962","ABILENE REGIONAL AIRPORT, TX US","2020-10-15","75"
"USW00013962","ABILENE REGIONAL AIRPORT, TX US","2020-10-16","60"
"USW00013962","ABILENE REGIONAL AIRPORT, TX US","2020-10-17","64"
"USW00013962","ABILENE REGIONAL AIRPORT, TX US","2020-10-18","73"
"USW00013962","ABILENE REGIONAL AIRPORT, TX US","2020-10-19","53"
"USW00013962","ABILENE REGIONAL AIRPORT, TX US","2020-10-20","66"
"USW00013962","ABILENE REGIONAL AIRPORT, TX US","2020-10-21","75"
"USW00013962","ABILENE REGIONAL AIRPORT, TX US","2020-10-22","76"
"USW00013962","ABILENE REGIONAL AIRPORT, TX US","2020-10-23","61"
"USW00013962","ABILENE REGIONAL AIRPORT, TX US","2020-10-24","49"
"USW00013962","ABILENE REGIONAL AIRPORT, TX US","2020-10-25","63"
"USW00013962","ABILENE REGIONAL AIRPORT, TX US","2020-10-26","40"
"USW00013962","ABILENE REGIONAL AIRPORT, TX US","2020-10-27","31"
"USW00013962","ABILENE REGIONAL AIRPORT, TX US","2020-10-28","36"
"USW00013962","ABILENE REGIONAL AIRPORT, TX US","2020-10-29","48"
"USW00013962","ABILENE REGIONAL AIRPORT, TX US","2020-10-30","49"
"USW00013962","ABILENE REGIONAL AIRPORT, TX US","2020-10-31","57"
"USW00013962","ABILENE REGIONAL AIRPORT, TX US","2020-11-01","59"
"USW00013962","ABILENE REGIONAL AIRPORT, TX US","2020-11-02","55"
"USW00013962","ABILENE REGIONAL AIRPORT, TX US","2020-11-03","58"
"USW00013962","ABILENE REGIONAL AIRPORT, TX US","2020-11-04","64"
"USW00013962","ABILENE REGIONAL AIRPORT, TX US","2020-11-05","69"
"USW00013962","ABILENE REGIONAL AIRPORT, TX US","2020-11-06","62"
"USW00013962","ABILENE REGIONAL AIRPORT, TX US","2020-11-07","65"
"USW00013962","ABILENE REGIONAL AIRPORT, TX US","2020-11-08","66"
"USW00013962","ABILENE REGIONAL AIRPORT, TX US","2020-11-09","70"
"USW00013962","ABILENE REGIONAL AIRPORT, TX US","2020-11-10","67"
"USW00013962","ABILENE REGIONAL AIRPORT, TX US","2020-11-11","57"
"USW00013962","ABILENE REGIONAL AIRPORT, TX US","2020-11-12","66"
"USW00013962","ABILENE REGIONAL AIRPORT, TX US","2020-11-13","58"
"USW00013962","ABILENE REGIONAL AIRPORT, TX US","2020-11-14","66"
"USW00013962","ABILENE REGIONAL AIRPORT, TX US","2020-11-15","58"
"USW00013962","ABILENE REGIONAL AIRPORT, TX US","2020-11-16","55"
"USW00013962","ABILENE REGIONAL AIRPORT, TX US","2020-11-17","58"
"USW00013962","ABILENE REGIONAL AIRPORT, TX US","2020-11-18","59"
"USW00013962","ABILENE REGIONAL AIRPORT, TX US","2020-11-19","66"
"USW00013962","ABILENE REGIONAL AIRPORT, TX US","2020-11-20","67"
"USW00013962","ABILENE REGIONAL AIRPORT, TX US","2020-11-21","64"
"USW00013962","ABILENE REGIONAL AIRPORT, TX US","2020-11-22","57"
"USW00013962","ABILENE REGIONAL AIRPORT, TX US","2020-11-23","52"
"USW00013962","ABILENE REGIONAL AIRPORT, TX US","2020-11-24","66"
"USW00013962","ABILENE REGIONAL AIRPORT, TX US","2020-11-25","55"
"USW00013962","ABILENE REGIONAL AIRPORT, TX US","2020-11-26","59"
"USW00013962","ABILENE REGIONAL AIRPORT, TX US","2020-11-27","55"
"USW00013962","ABILENE REGIONAL AIRPORT, TX US","2020-11-28","46"
"USW00013962","ABILENE REGIONAL AIRPORT, TX US","2020-11-29","44"
"USW00013962","ABILENE REGIONAL AIRPORT, TX US","2020-11-30","40"
"USW00013962","ABILENE REGIONAL AIRPORT, TX US","2020-12-01","45"
"USW00013962","ABILENE REGIONAL AIRPORT, TX US","2020-12-02","47"
"USW00013962","ABILENE REGIONAL AIRPORT, TX US","2020-12-03","39"
"USW00013962","ABILENE REGIONAL AIRPORT, TX US","2020-12-04","39"
"USW00013962","ABILENE REGIONAL AIRPORT, TX US","2020-12-05","42"
"USW00013962","ABILENE REGIONAL AIRPORT, TX US","2020-12-06","49"
"USW00013962","ABILENE REGIONAL AIRPORT, TX US","2020-12-07","46"
"USW00013962","ABILENE REGIONAL AIRPORT, TX US","2020-12-08","52"
"USW00013962","ABILENE REGIONAL AIRPORT, TX US","2020-12-09","55"
"USW00013962","ABILENE REGIONAL AIRPORT, TX US","2020-12-10","61"
"USW00013962","ABILENE REGIONAL AIRPORT, TX US","2020-12-11","61"
"USW00013962","ABILENE REGIONAL AIRPORT, TX US","2020-12-12","44"
"USW00013962","ABILENE REGIONAL AIRPORT, TX US","2020-12-13","43"
"USW00013962","ABILENE REGIONAL AIRPORT, TX US","2020-12-14","35"
"USW00013962","ABILENE REGIONAL AIRPORT, TX US","2020-12-15","43"
"USW00013962","ABILENE REGIONAL AIRPORT, TX US","2020-12-16","38"
"USW00013962","ABILENE REGIONAL AIRPORT, TX US","2020-12-17","42"
"USW00013962","ABILENE REGIONAL AIRPORT, TX US","2020-12-18","50"
"USW00013962","ABILENE REGIONAL AIRPORT, TX US","2020-12-19","51"
"USW00013962","ABILENE REGIONAL AIRPORT, TX US","2020-12-20","45"
"USW00013962","ABILENE REGIONAL AIRPORT, TX US","2020-12-21","51"
"USW00013962","ABILENE REGIONAL AIRPORT, TX US","2020-12-22","55"
"USW00013962","ABILENE REGIONAL AIRPORT, TX US","2020-12-23","59"
